X;CountryCode;RegionCode
Angola;AGO;Africa
Cameroon;CMR;Africa
Central African Republic;CAF;Africa
Chad;TCD;Africa
Congo;COG;Africa
Democratic Republic of the Congo;COD;Africa
Equatorial Guinea;GNQ;Africa
Gabon;GAB;Africa
Burundi;BDI;Africa
Djibouti;DJI;Africa
Eritrea;ERI;Africa
Ethiopia;ETH;Africa
Kenya;KEN;Africa
Madagascar;MDG;Africa
Malawi;MWI;Africa
Mayotte;MYT;Africa
Mozambique;MOZ;Africa
Rwanda;RWA;Africa
Réunion;REU;Africa
Somalia;SOM;Africa
South Sudan;SSD;Africa
Uganda;UGA;Africa
United Republic of Tanzania;TZA;Africa
Zambia;ZMB;Africa
Zimbabwe;ZWE;Africa
Algeria;DZA;Africa
Egypt;EGY;Africa
Libya;LBY;Africa
Morocco;MAR;Africa
Sudan;SDN;Africa
Tunisia;TUN;Africa
Western Sahara;ESH;Africa
Botswana;BWA;Africa
Eswatini;SWZ;Africa
Lesotho;LSO;Africa
Namibia;NAM;Africa
South Africa;ZAF;Africa
Benin;BEN;Africa
Burkina Faso;BFA;Africa
Côte d'Ivoire;CIV;Africa
Gambia;GMB;Africa
Ghana;GHA;Africa
Guinea;GIN;Africa
Liberia;LBR;Africa
Mali;MLI;Africa
Mauritania;MRT;Africa
Niger;NER;Africa
Nigeria;NGA;Africa
Saint Helena;SHN;Africa
Senegal;SEN;Africa
Sierra Leone;SLE;Africa
Togo;TGO;Africa
Kazakhstan;KAZ;Asia
Kyrgyzstan;KGZ;Asia
Tajikistan;TJK;Asia
Turkmenistan;TKM;Asia
Uzbekistan;UZB;Asia
China;CHN;Asia
China, Hong Kong SAR;HKG;Asia
China, Macao SAR;MAC;Asia
China, Taiwan Province of China;TWN;Asia
Dem. People's Republic of Korea;PRK;Asia
Japan;JPN;Asia
Mongolia;MNG;Asia
Republic of Korea;KOR;Asia
Afghanistan;AFG;Asia
Bangladesh;BGD;Asia
Bhutan;BTN;Asia
India;IND;Asia
Iran (Islamic Republic of);IRN;Asia
Nepal;NPL;Asia
Pakistan;PAK;Asia
Sri Lanka;LKA;Asia
Brunei Darussalam;BRN;Asia
Cambodia;KHM;Asia
Indonesia;IDN;Asia
Lao People's Democratic Republic;LAO;Asia
Malaysia;MYS;Asia
Myanmar;MMR;Asia
Philippines;PHL;Asia
Thailand;THA;Asia
Viet Nam;VNM;Asia
Armenia;ARM;Asia
Azerbaijan;AZE;Asia
Bahrain;BHR;Asia
Cyprus;CYP;Asia
Georgia;GEO;Asia
Iraq;IRQ;Asia
Israel;ISR;Asia
Jordan;JOR;Asia
Kuwait;KWT;Asia
Lebanon;LBN;Asia
Oman;OMN;Asia
Qatar;QAT;Asia
Saudi Arabia;SAU;Asia
State of Palestine;PSE;Asia
Syrian Arab Republic;SYR;Asia
Türkiye;TUR;Asia
United Arab Emirates;ARE;Asia
Yemen;YEM;Asia
Australia;AUS;Australasia
New Zealand;NZL;Australasia
Bonaire, Sint Eustatius and Saba;BES;Small Islands
Saint Barthélemy;BLM;Small Islands
Saint Martin (French part);MAF;Small Islands
Costa Rica;CRI;Central & South America
El Salvador;SLV;Central & South America
Guatemala;GTM;Central & South America
Honduras;HND;Central & South America
Nicaragua;NIC;Central & South America
Panama;PAN;Central & South America
Argentina;ARG;Central & South America
Bolivia (Plurinational State of);BOL;Central & South America
Brazil;BRA;Central & South America
Chile;CHL;Central & South America
Colombia;COL;Central & South America
Ecuador;ECU;Central & South America
Falkland Islands (Malvinas);FLK;Central & South America
French Guiana;GUF;Central & South America
Paraguay;PRY;Central & South America
Peru;PER;Central & South America
Uruguay;URY;Central & South America
Venezuela (Bolivarian Republic of);VEN;Central & South America
Belarus;BLR;Europe
Bulgaria;BGR;Europe
Czechia;CZE;Europe
Hungary;HUN;Europe
Poland;POL;Europe
Republic of Moldova;MDA;Europe
Romania;ROU;Europe
Russian Federation;RUS;Europe
Slovakia;SVK;Europe
Ukraine;UKR;Europe
Denmark;DNK;Europe
Estonia;EST;Europe
